Sơ đồ cấu kiện và vị trí của tiết diện tính toán,Đặc điểm của cấu kiện,Nhóm cấu kiện
10<br>$\le 1:5$,Đường hàn đối đầu không gia công; các cấu kiện được hàn có chiều rộng khác nhau hoặc chiều dày khác nhau,5
11<br>$\text{a) } \vert  a \quad \le 1:4 \quad \vert  a \qquad \text{b) } \vert  a \quad \vert  a \quad \le 1:1$,Thép cơ bản tại chỗ chuyển tiếp tới vị trí đường hàn đối đầu được gia công cơ khí loại bỏ phần đường hàn dày lên:<br>a) Khi nối các cấu kiện có chiều dày và chiều rộng như nhau<br>b) Khi nối các cấu kiện có chiều dày và chiều rộng khác nhau,2<br>3
12,Liên kết hàn đối đầu:<br>a) Cấu kiện tấm có dùng bản lót ở dưới (lực vuông góc với đường hàn)<br>b) Các thép ống có dùng đoạn ống lót ở trong<br>c) Các thép cán định hình,4<br>4<br>4
13<br>$\text{Hình vẽ kỹ thuật (dầm I và sơ đồ)}$,"Tiết diện tổ hợp hàn chữ I, chữ T, hoặc các loại tiết diện khác được hàn bằng các đường hàn dọc liên tục khi có tác dụng của lực dọc theo trục đường hàn",2
14<br>$\text{Không có công thức toán học trong hình ảnh này.}$,Thép cơ bản với các chi tiết phụ được liên kết bằng đường hàn dọc khi góc:<br>α ≤ 45°<br>45° < α ≤ 90°,4<br>7
15<br>$\text{Hình vẽ kỹ thuật (không chứa công thức toán học)}$,Vết đứt cánh không gia công cơ khí đường hàn ngang (góc đầu),7
16<br>$Hình ảnh bạn cung cấp là một hình vẽ kỹ thuật minh họa mối hàn góc (không chứa công thức toán học). Do đó không có biểu thức LaTeX nào được trích xuất từ hình ảnh này.$,Thép cơ bản có đường hàn ngang; đường hàn hai bên có chỗ chuyển tiếp thoải dần đến thép cơ bản,4
17<br>$a - a$,Thép cơ bản của cánh chịu kéo của dầm và của các thanh giàn gần vách cứng và sườn cứng được hàn bằng các đường hàn góc,5
18<br>$\text{Hình ảnh minh họa kết cấu hàn}$,Thép cơ bản ở chỗ chuyển tiếp đến đường hàn ngang (góc đầu),6<br>5
19,Thép cơ bản trong liên kết dùng đường hàn góc cạnh (tại chỗ chuyển tiếp từ cấu kiện đến đầu mút đường hàn góc cạnh):<br>a) với hai đường hàn góc cạnh<br>b) với đường hàn góc cạnh và góc đầu<br>c) khi truyền lực thông qua thép cơ bản<br>d) để hàn má neo giữ cáp,8<br>7<br>7<br>8
20<br>$\text{Hình minh họa kết cấu hàn}$,Thép cơ bản của các thanh ống xiên chịu kéo khi tỷ số giữa chiều dày và đường kính ngoài của ống làm thanh cánh:<br>$t_{m}$ /$d_{m}$ ≥ 1/14<br>1 20 ≤ $t_{m}$/$d_{m}$ < 1/14,7<br>8
21<br>$\text{Hình ảnh minh họa kết cấu ống}$<br>α = 45° ÷ 60°,"Thép cơ bản của thanh xiên ống chịu kéo khi tỷ số giữa các đường kính của thanh xiên và thanh cánh $d_{d}$/$d_{m}$ = 0, 4 ÷ 0, 7 và tỷ số giữa chiều dày và đường kính ngoài của ống làm thanh cánh:<br>$t_{m}$/$d_{m}$ ≥ 1/14<br>1 20 ≤ $t_{m}$/$d_{m}$ < 1/14<br>1 35 ≤ $t_{m}$/$d_{m}$ < 1/20",6<br>7<br>8
