Số điểm liên kết cánh chịu nén trong nhịp,Loại tải trọng trong nhịp,Biểu đồ $M_{x}$ trên đoạn $L_{ef}$ $L$,$C_{1}$,$C_{2}$,Cánh được chất tải,"Giá trị Ψ khi α — ≥ 0,1; ≤ 40",Giá trị Ψ khi α — > 40; ≤ 400,
1. Không có điểm liên kết $L_{ef}$ = L,$q_1 = 10 \cdot K \cdot \sqrt{P} \tag{1}$,$và kết thúc bằng$,"1,37","0,55","Chịu nén, Chịu kéo","$C_1 \left( \sqrt{0,95\alpha + 6,09C_2^2 + 5,78} \mp 2,47C_2 \right)$","$C_1 \left( \sqrt{0,95\alpha + 6,09C_2^2 + 5,78} \mp 2,47C_2 \right)$",
1. Không có điểm liên kết $L_{ef}$ = L,"$P, \quad \frac{L}{4}$","$Hình ảnh bạn cung cấp là một biểu đồ hình học (biểu đồ nội lực hoặc biểu đồ phân bố tải trọng), không chứa công thức toán học hay ký hiệu văn bản nào để chuyển đổi sang LaTeX.$","1,49","0,41","Chịu nén, Chịu kéo","$C_1 \left( \sqrt{0,95\alpha + 6,09C_2^2 + 5,78} \mp 2,47C_2 \right)$","$C_1 \left( \sqrt{0,95\alpha + 6,09C_2^2 + 5,78} \mp 2,47C_2 \right)$",
1. Không có điểm liên kết $L_{ef}$ = L,$\text{Hình ảnh không chứa công thức toán học để chuyển đổi sang LaTeX.}$,"$Hình ảnh bạn cung cấp là một biểu đồ hình học (biểu đồ bao mô-men hoặc biểu đồ phân bố tải trọng), không chứa công thức toán học hay ký hiệu văn bản. Do đó, không có nội dung để chuyển đổi sang mã LaTeX.$","1,10","0,50","Chịu nén, Chịu kéo","$C_1 \left( \sqrt{0,95\alpha + 6,09C_2^2 + 5,78} \mp 2,47C_2 \right)$","$C_1 \left( \sqrt{0,95\alpha + 6,09C_2^2 + 5,78} \mp 2,47C_2 \right)$",
1. Không có điểm liên kết $L_{ef}$ = L,"$Hình ảnh bạn cung cấp là một sơ đồ kết cấu (dầm chịu lực), không chứa công thức toán học. Do đó, không có mã LaTeX tương ứng để chuyển đổi.$",$M_{\text{sup}} = M_{\text{sp}}$,"1,73","1,40","Chịu nén, Chịu kéo","$C_1 \left( \sqrt{0,95\alpha + 6,09C_2^2 + 5,78} \mp 2,47C_2 \right)$","$C_1 \left( \sqrt{0,95\alpha + 6,09C_2^2 + 5,78} \mp 2,47C_2 \right)$",
1. Không có điểm liên kết $L_{ef}$ = L,"$Hình ảnh bạn cung cấp là một sơ đồ kết cấu (dầm đơn giản chịu tải trọng phân bố đều), không chứa công thức toán học. Do đó, không có nội dung để chuyển đổi sang mã LaTeX.$",$--$,"1,13","0,46","Chịu nén, Chịu kéo","$C_1 \left( \sqrt{0,95\alpha + 6,09C_2^2 + 5,78} \mp 2,47C_2 \right)$","$C_1 \left( \sqrt{0,95\alpha + 6,09C_2^2 + 5,78} \mp 2,47C_2 \right)$",
1. Không có điểm liên kết $L_{ef}$ = L,"$Ảnh này không chứa công thức toán học nào mà chỉ là một sơ đồ cơ học (dầm đơn giản chịu tải trọng phân bố đều và có các mômen tập trung ở hai đầu). Do không có công thức, hệ thống trả về khối trống hoặc không thể trích xuất.$","$M_{s,p} = M_{s,\rho}$",,,"Chịu nén, Chịu kéo","$C_1 \left( \sqrt{0,95\alpha + 6,09C_2^2 + 5,78} \mp 2,47C_2 \right)$","$C_1 \left( \sqrt{0,95\alpha + 6,09C_2^2 + 5,78} \mp 2,47C_2 \right)$",
1. Không có điểm liên kết $L_{ef}$ = L,"$Xin lỗi, hình ảnh bạn cung cấp là một sơ đồ kết cấu cơ học (dầm đơn giản chịu momen) chứ không chứa công thức toán học nào. Vui lòng cung cấp hình ảnh có chứa công thức để tôi có thể chuyển đổi sang mã LaTeX KaTeX cho bạn.$",$M \quad \text{.................} \quad M$,"1,00",-,-,"$C_1\sqrt{0,95\alpha+5,78}$","$C_1\sqrt{0,95\alpha+5,78}$",
1. Không có điểm liên kết $L_{ef}$ = L,$Hình ảnh bạn cung cấp là một sơ đồ cơ học (dầm đơn giản chịu mô-men xoắn/uốn ở đầu) chứ không chứa công thức toán học hay ký hiệu LaTeX nào để chuyển đổi.$,$M$,"1,88",-,-,"$C_1\sqrt{0,95\alpha+5,78}$","$C_1\sqrt{0,95\alpha+5,78}$",
1. Không có điểm liên kết $L_{ef}$ = L,"$\text{Hình ảnh chỉ chứa sơ đồ dầm chịu lực, không có công thức toán học}$",$M$,"2,77",-,-,"$C_1\sqrt{0,95\alpha+5,78}$","$C_1\sqrt{0,95\alpha+5,78}$",
2. Hai hay nhiều điểm liên kết chia nhịp L thành các đoạn bằng nhau,Bất kỳ,$L_{\text{ef}}$,-,-,Bất kỳ,"2,25 + 0,07+","2,25 + 0,07+","3,6 + 0,04α - 3,5.10$^{-5}$ $\alpha^{2}$"
3. Một điểm liên kết ở giữa,"$L/2, \quad P$",$L_{\text{ef}}$,-,-,Bất kỳ,"1,75$Ψ_{1}$","1,75$Ψ_{1}$","1,75$Ψ_{1}$"
3. Một điểm liên kết ở giữa,$P$,$l_{ot}$,-,-,Chịu nén,"1,14$Ψ_{1}$","1,14$Ψ_{1}$","1,14$Ψ_{1}$"
