Sơ đồ cấu kiện và vị trí của tiết diện tính toán,Đặc điểm của cấu kiện,Nhóm cấu kiện
"1<br>$Hình ảnh bạn cung cấp là một hình vẽ minh họa kỹ thuật (mặt cắt a-a của một thanh chịu kéo), không chứa công thức toán học. Do đó, không có mã LaTeX để chuyển đổi.$",Thép cơ bản có mép cán hoặc gia công cơ khí,1
"1<br>$Hình ảnh bạn cung cấp là một hình vẽ minh họa kỹ thuật (mặt cắt a-a của một thanh chịu kéo), không chứa công thức toán học. Do đó, không có mã LaTeX để chuyển đổi.$",Thép cơ bản có mép cắt bằng máy cắt hơi,2
"2<br>$Hình ảnh bạn cung cấp là một sơ đồ kỹ thuật (hình vẽ minh họa chi tiết trục bậc), không chứa công thức toán học. Do đó, không có nội dung để chuyển đổi sang mã LaTeX.$","Thép cơ bản có mép gia công cơ khí, khi có chiều rộng khác nhau và bán kính cong ở chỗ chuyển tiếp r là:",
"2<br>$Hình ảnh bạn cung cấp là một sơ đồ kỹ thuật (hình vẽ minh họa chi tiết trục bậc), không chứa công thức toán học. Do đó, không có nội dung để chuyển đổi sang mã LaTeX.$",r = 200 mm<br>r = 10 mm,1<br>4
3,Thép cơ bản trong liên kết ma sát,1
"4<br>a) $Xin lỗi, hình ảnh bạn cung cấp là hình vẽ minh họa kỹ thuật (mối ghép bu lông/đinh tán), không chứa công thức toán học để chuyển đổi sang LaTeX. Vui lòng cung cấp hình ảnh có chứa công thức nếu bạn cần hỗ trợ.$<br>b) $Hình ảnh bạn cung cấp là một hình vẽ kỹ thuật mô tả chi tiết liên kết, không chứa công thức toán học. Do đó, không có nội dung để chuyển đổi sang mã LaTeX.$",Thép cơ bản trong liên kết bu lông (dùng bu lông cấp chính xác A) tại các tiết diện đi qua lỗ bu lông:,
"4<br>a) $Xin lỗi, hình ảnh bạn cung cấp là hình vẽ minh họa kỹ thuật (mối ghép bu lông/đinh tán), không chứa công thức toán học để chuyển đổi sang LaTeX. Vui lòng cung cấp hình ảnh có chứa công thức nếu bạn cần hỗ trợ.$<br>b) $Hình ảnh bạn cung cấp là một hình vẽ kỹ thuật mô tả chi tiết liên kết, không chứa công thức toán học. Do đó, không có nội dung để chuyển đổi sang mã LaTeX.$",a) Khi dùng cặp bản ghép,4
"4<br>a) $Xin lỗi, hình ảnh bạn cung cấp là hình vẽ minh họa kỹ thuật (mối ghép bu lông/đinh tán), không chứa công thức toán học để chuyển đổi sang LaTeX. Vui lòng cung cấp hình ảnh có chứa công thức nếu bạn cần hỗ trợ.$<br>b) $Hình ảnh bạn cung cấp là một hình vẽ kỹ thuật mô tả chi tiết liên kết, không chứa công thức toán học. Do đó, không có nội dung để chuyển đổi sang mã LaTeX.$",b) Khi dùng bản ghép một bên,5
"5<br>$a, b, r$","Chỗ chuyển tiếp và lượn cong (phay) khi α ≥ 72° ; r ≥ 0,5b",2
6<br>$\text{Hình ảnh kỹ thuật cấu kiện thép}$,Bản mã hình chữ nhật được hàn đối đầu hoặc chữ T với cấu kiện kết cấu mà không được gia công cơ khí mép chuyển tiếp từ bản mã đến cấu kiện,7
"7<br>$Xin lỗi, hình ảnh bạn cung cấp chỉ chứa các sơ đồ kỹ thuật (hình vẽ kết cấu thép) chứ không chứa công thức toán học nào. Do đó không thể chuyển đổi thành mã LaTeX theo yêu cầu.$","Bản mã được hàn đối đầu hoặc chữ T với bản bụng và bản cánh của dầm, cũng như với các thanh giàn khi α ≤ 45°",4
8<br>$\text{l-a}$,Bản mã hình chữ nhật hoặc hình thang được hàn ghép chồng với cánh dầm bằng đường hàn không gia công cơ khí quanh chu vi ghép chồng,7
"9<br>$Hình ảnh bạn cung cấp là một hình vẽ kỹ thuật (minh họa mối hàn đối đầu), không chứa công thức toán học nào. Do đó, không có biểu thức LaTeX tương ứng để chuyển đổi.$",Đường hàn đối đầu không gia công; lực vuông góc với đường hàn; các cấu kiện được hàn có chiều rộng và chiều dày như nhau,4
